smiles,pKi_numeric
CC(=O)OC(CCNC(=O)c1ccc(-c2ccccn2)cc1)CN1CCN(c2cccc(Cl)c2Cl)CC1,7.052076380168273
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(Cc4ccccc4)CC3)C(=O)C12,5.010000098195093
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(Cc4ccccc4)CC3)C(=O)C12,5.012333735073725
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ccc(F)cc4)CC3)C(=O)C12,6.770011163455189
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ccc(F)cc4)CC3)C(=O)C12,6.769551078621726
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ccccc4)CC3)C(=O)C12,6.540004743952609
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ccccc4)CC3)C(=O)C12,6.543633966870956
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ccccn4)CC3)C(=O)C12,6.015472686656207
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ccccn4)CC3)C(=O)C12,6.020001176026261
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ncccn4)CC3)C(=O)C12,5.219999701663429
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCCN3CCN(c4ncccn4)CC3)C(=O)C12,5.220475656675211
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCN3CCN(c4ccccc4)CC3)C(=O)C12,6.2403321553103694
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(CCCN3CCN(c4ccccc4)CC3)C(=O)C12,6.2399999527072705
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(OCCCN3CCN(c4cccc(Cl)c4)CC3)C(=O)C12,6.41999931041096
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(OCCCN3CCN(c4cccc(Cl)c4)CC3)C(=O)C12,6.424812155072339
CC(=O)OC12C=C(C)C(C(C)C1)C1C(=O)N(OCCCN3CCN(c4ccccc4)CC3)C(=O)C12,6.429994423238211
